 NS  KS  AS  CS  KI  AI  CI 
 0.3596E-00009  0.1426E-00007  0.1550E-00006  0.4536E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1430E-00007  0.1554E-00006  0.4538E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1434E-00007  0.1558E-00006  0.4541E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1438E-00007  0.1562E-00006  0.4544E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1442E-00007  0.1566E-00006  0.4547E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1446E-00007  0.1570E-00006  0.4550E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1450E-00007  0.1570E-00006  0.4544E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1453E-00007  0.1570E-00006  0.4538E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1457E-00007  0.1570E-00006  0.4532E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1461E-00007  0.1570E-00006  0.4525E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1465E-00007  0.1570E-00006  0.4519E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1469E-00007  0.1570E-00006  0.4513E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1473E-00007  0.1570E-00006  0.4506E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1477E-00007  0.1570E-00006  0.4500E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1481E-00007  0.1570E-00006  0.4494E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1485E-00007  0.1570E-00006  0.4487E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1490E-00007  0.1570E-00006  0.4481E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1494E-00007  0.1570E-00006  0.4474E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1498E-00007  0.1570E-00006  0.4468E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1502E-00007  0.1570E-00006  0.4461E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1506E-00007  0.1570E-00006  0.4454E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1510E-00007  0.1570E-00006  0.4448E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1514E-00007  0.1570E-00006  0.4441E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1519E-00007  0.1570E-00006  0.4434E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1523E-00007  0.1570E-00006  0.4427E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1527E-00007  0.1570E-00006  0.4420E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1531E-00007  0.1570E-00006  0.4414E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1536E-00007  0.1570E-00006  0.4407E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1540E-00007  0.1570E-00006  0.4400E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1544E-00007  0.1570E-00006  0.4392E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1549E-00007  0.1570E-00006  0.4385E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1553E-00007  0.1570E-00006  0.4378E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1558E-00007  0.1570E-00006  0.4371E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1562E-00007  0.1570E-00006  0.4364E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1566E-00007  0.1570E-00006  0.4356E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1571E-00007  0.1570E-00006  0.4349E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1575E-00007  0.1570E-00006  0.4342E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1575E-00007  0.1570E-00006  0.4335E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4329E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4323E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4317E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4312E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4307E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4302E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4297E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4293E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4288E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4284E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4281E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4277E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4273E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4270E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4267E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4264E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4261E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4258E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4256E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4253E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4251E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4249E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4247E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4245E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
 0.3596E-00009  0.1574E-00007  0.1570E-00006  0.4244E-00006  0.5661E-00002  0.6218E-00002  0.0000E+00000
