 NS  KS  AS  CS  KI  AI  CI 
 0.2510E-00007  0.7209E+00004  0.7235E+00004  0.8252E+00003  0.5721E+00004  0.2070E+00003  0.3632E-00002
 0.2333E-00007  0.6735E+00004  0.6987E+00004  0.7794E+00003  0.5393E+00004  0.1916E+00003  0.3319E-00002
 0.2168E-00007  0.6292E+00004  0.6748E+00004  0.7362E+00003  0.5083E+00004  0.1773E+00003  0.3033E-00002
 0.2015E-00007  0.5878E+00004  0.6517E+00004  0.6954E+00003  0.4792E+00004  0.1640E+00003  0.2771E-00002
 0.1873E-00007  0.5492E+00004  0.6295E+00004  0.6569E+00003  0.4517E+00004  0.1518E+00003  0.2533E-00002
 0.1741E-00007  0.5131E+00004  0.6080E+00004  0.6205E+00003  0.4258E+00004  0.1404E+00003  0.2314E-00002
 0.1618E-00007  0.4794E+00004  0.5873E+00004  0.5861E+00003  0.4014E+00004  0.1299E+00003  0.2115E-00002
 0.1504E-00007  0.4479E+00004  0.5669E+00004  0.5573E+00003  0.3784E+00004  0.1202E+00003  0.1933E-00002
 0.1398E-00007  0.4185E+00004  0.5472E+00004  0.5301E+00003  0.3567E+00004  0.1113E+00003  0.1766E-00002
 0.1299E-00007  0.3910E+00004  0.5282E+00004  0.5043E+00003  0.3362E+00004  0.1030E+00003  0.1614E-00002
 0.1207E-00007  0.3654E+00004  0.5098E+00004  0.4798E+00003  0.3169E+00004  0.9527E+00002  0.1475E-00002
 0.1122E-00007  0.3414E+00004  0.4921E+00004  0.4566E+00003  0.2987E+00004  0.8816E+00002  0.1348E-00002
 0.1043E-00007  0.3190E+00004  0.4750E+00004  0.4345E+00003  0.2816E+00004  0.8157E+00002  0.1231E-00002
 0.9693E-00008  0.2981E+00004  0.4585E+00004  0.4135E+00003  0.2655E+00004  0.7548E+00002  0.1125E-00002
 0.9009E-00008  0.2786E+00004  0.4425E+00004  0.3936E+00003  0.2502E+00004  0.6985E+00002  0.1028E-00002
 0.8373E-00008  0.2603E+00004  0.4272E+00004  0.3746E+00003  0.2359E+00004  0.6463E+00002  0.9397E-00003
